timestamp_s,errorx,errory,aileron,elevator,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
12919.303,-0.0108,+0.1623,0.2700,0.2414,-0.235,-4.151,-43.868,8.173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.67,31.97,45,2.730,1,231.0
12919.352,-0.0365,+0.1721,0.0000,0.2886,2.489,-5.014,6.237,-8.633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.04,32.00,45,-24.970,1,221.7
12919.410,-0.0163,+0.2249,0.0000,0.2886,2.489,-5.014,6.237,-8.633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.04,32.00,45,-24.970,1,221.7
12919.458,-0.0222,+0.5129,0.0000,0.2886,2.489,-5.014,6.237,-8.633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.04,32.00,45,-24.970,1,221.7
12919.502,-0.0267,+0.5027,0.0000,0.2886,2.489,-5.014,6.237,-8.633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.04,32.00,45,-24.970,1,221.7
12919.552,-0.0050,+0.5583,0.3057,0.1629,1.265,-4.297,-4.466,7.675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.40,32.00,22,20.000,1,214.1
12919.601,-0.0267,+0.3878,0.3057,0.1629,1.265,-4.297,-4.466,7.675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.40,32.00,22,20.000,1,214.1
12919.652,+0.0136,+0.3367,0.3057,0.1629,1.265,-4.297,-4.466,7.675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.40,32.00,22,20.000,1,214.1
12919.699,-0.0738,+0.1837,0.3057,0.1629,1.265,-4.297,-4.466,7.675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.40,32.00,22,20.000,1,214.1
12919.743,-0.0607,+0.1273,0.3057,0.1629,1.265,-4.297,-4.466,7.675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.40,32.00,22,20.000,1,214.1
12919.791,-0.0175,+0.2113,0.1886,0.2600,3.092,-2.479,-7.438,8.563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.94,32.04,22,6.820,1,207.0
12919.847,-0.0562,+0.0062,0.1886,0.2600,3.092,-2.479,-7.438,8.563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.94,32.04,22,6.820,1,207.0
12919.892,-0.0461,+0.0643,0.1886,0.2600,3.092,-2.479,-7.438,8.563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.94,32.04,22,6.820,1,207.0
12919.938,-0.0250,+0.0464,0.1886,0.2600,3.092,-2.479,-7.438,8.563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.94,32.04,22,6.820,1,207.0
12919.984,-0.0479,+0.0605,0.1886,0.2600,3.092,-2.479,-7.438,8.563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.94,32.04,22,6.820,1,207.0
12920.034,-0.0705,+0.0245,0.1886,0.2600,3.092,-2.479,-7.438,8.563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.94,32.04,22,6.820,1,207.0
12920.079,-0.0562,+0.0817,0.1657,0.4229,2.208,-3.055,-18.830,2.265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.50,31.97,38,6.820,1,197.3
12920.132,-0.0757,+0.5196,0.1657,0.4229,2.208,-3.055,-18.830,2.265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.50,31.97,38,6.820,1,197.3
12920.182,-0.0831,+0.3250,0.1657,0.4229,2.208,-3.055,-18.830,2.265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.50,31.97,38,6.820,1,197.3
12920.228,-0.0909,+0.1927,0.1657,0.4229,2.208,-3.055,-18.830,2.265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.50,31.97,38,6.820,1,197.3
12920.276,-0.0500,+0.1598,0.1657,0.4229,2.208,-3.055,-18.830,2.265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.50,31.97,38,6.820,1,197.3
12920.321,-0.0734,+0.2446,0.0714,0.3514,2.585,-4.031,-28.678,-3.076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.09,31.94,45,6.820,1,189.8
12920.374,-0.0320,+0.3259,0.0714,0.3514,2.585,-4.031,-28.678,-3.076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.09,31.94,45,6.820,1,189.8
12920.431,-0.0690,+0.3569,0.0714,0.3514,2.585,-4.031,-28.678,-3.076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.09,31.94,45,6.820,1,189.8
12920.482,-0.0953,+0.3323,0.0714,0.3514,2.585,-4.031,-28.678,-3.076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.09,31.94,45,6.820,1,189.8
12920.531,-0.1009,+0.4014,0.0714,0.3514,2.585,-4.031,-28.678,-3.076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.09,31.94,45,6.110,1,189.8
12920.589,-0.0625,+0.3240,0.0714,0.3514,7.153,-4.844,26.089,2.413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.53,31.92,45,6.110,1,182.1
12920.645,-0.1205,+0.5377,0.0714,0.3514,7.153,-4.844,26.089,2.413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.53,31.92,45,6.110,1,182.1
12920.694,-0.1142,+0.2544,0.0714,0.3514,7.153,-4.844,26.089,2.413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.53,31.92,45,6.110,1,182.1
12920.741,-0.1201,+0.3067,0.0714,0.3514,7.153,-4.844,26.089,2.413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.53,31.92,45,6.110,1,182.1
12920.797,-0.0994,+0.3326,0.0714,0.3514,4.323,-4.285,-28.018,3.951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.96,31.96,45,6.110,1,174.9
12920.849,-0.1240,+0.2270,0.0714,0.3514,4.323,-4.285,-28.018,3.951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.96,31.96,45,6.110,1,174.9
12920.896,-0.1328,+0.2094,0.0714,0.3514,4.323,-4.285,-28.018,3.951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.96,31.96,45,6.110,1,174.9
12920.944,-0.2275,+0.2000,0.0714,0.3514,4.323,-4.285,-28.018,3.951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.96,31.96,45,6.110,1,174.9
12921.000,-0.1270,+0.1762,-0.0386,0.1786,1.995,-2.649,-14.247,4.651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.48,31.99,40,-6.470,1,167.3
