# pipeline profile — started 2026-08-27 09:04:18
     hud:warp        2.35 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.14 ms  (sub)
     hud:yaw         0.45 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.63 ms  (sub)
     disp:waitkey    4.76 ms  (sub)
[PROF 09:05:14]  56 frames   23.02 ms/frame  ->  43.4 FPS
   capture           5.06 ms   22.0%
   track             6.72 ms   29.2%
   ctrl+mav          0.45 ms    2.0%
   hud               5.39 ms   23.4%
   display           5.40 ms   23.5%
     detect          6.18 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.99 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.34 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.19 ms  (sub)
     hud:yaw         0.46 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.55 ms  (sub)
     disp:waitkey    4.80 ms  (sub)
[PROF 09:05:16]  55 frames   24.97 ms/frame  ->  40.1 FPS
   capture           5.07 ms   20.3%
   track             6.61 ms   26.5%
   ctrl+mav          0.38 ms    1.5%
   hud               5.74 ms   23.0%
   display           7.17 ms   28.7%
     detect          6.02 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.00 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.62 ms  (sub)
     hud:arc         0.08 ms  (sub)
     hud:blend       1.20 ms  (sub)
     hud:yaw         0.48 ms  (sub)
     hud:cross       0.07 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.64 ms  (sub)
     disp:waitkey    6.49 ms  (sub)
[PROF 09:05:18]  59 frames   23.29 ms/frame  ->  42.9 FPS
   capture           4.83 ms   20.7%
   track             6.60 ms   28.3%
   ctrl+mav          0.39 ms    1.7%
   hud               5.77 ms   24.8%
   display           5.70 ms   24.5%
     detect          6.06 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.06 ms  (sub)
     hud:setup       0.14 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.57 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.21 ms  (sub)
     hud:yaw         0.48 ms  (sub)
     hud:cross       0.07 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.64 ms  (sub)
     disp:waitkey    5.01 ms  (sub)
[PROF 09:05:20]  59 frames   23.39 ms/frame  ->  42.8 FPS
   capture           5.12 ms   21.9%
   track             6.55 ms   28.0%
   ctrl+mav          0.37 ms    1.6%
   hud               5.71 ms   24.4%
   display           5.63 ms   24.1%
     detect          5.92 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.10 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.56 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.18 ms  (sub)
     hud:yaw         0.45 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.60 ms  (sub)
     disp:waitkey    4.99 ms  (sub)
[PROF 09:05:22]  60 frames   23.59 ms/frame  ->  42.4 FPS
   capture           4.85 ms   20.6%
   track             6.54 ms   27.7%
   ctrl+mav          0.40 ms    1.7%
   hud               5.86 ms   24.8%
   display           5.95 ms   25.2%
     detect          5.99 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.04 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.59 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.32 ms  (sub)
     hud:yaw         0.46 ms  (sub)
     hud:cross       0.09 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.63 ms  (sub)
     disp:waitkey    5.27 ms  (sub)
[PROF 09:05:24]  56 frames   24.05 ms/frame  ->  41.6 FPS
   capture           4.98 ms   20.7%
   track             6.76 ms   28.1%
   ctrl+mav          0.44 ms    1.8%
   hud               5.82 ms   24.2%
   display           6.04 ms   25.1%
     detect          6.16 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.03 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.64 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.24 ms  (sub)
     hud:yaw         0.49 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.64 ms  (sub)
     disp:waitkey    5.35 ms  (sub)
[PROF 09:05:26]  59 frames   23.79 ms/frame  ->  42.0 FPS
   capture           5.05 ms   21.2%
   track             6.93 ms   29.1%
   ctrl+mav          0.45 ms    1.9%
   hud               5.59 ms   23.5%
   display           5.77 ms   24.3%
     detect          6.32 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.03 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.41 ms  (sub)
     hud:arc         0.08 ms  (sub)
     hud:blend       1.26 ms  (sub)
     hud:yaw         0.47 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.70 ms  (sub)
     disp:waitkey    5.02 ms  (sub)
[PROF 09:05:28]  57 frames   23.34 ms/frame  ->  42.9 FPS
   capture           4.62 ms   19.8%
   track             6.92 ms   29.6%
   ctrl+mav          0.40 ms    1.7%
   hud               5.70 ms   24.4%
   display           5.71 ms   24.5%
     detect          6.27 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.08 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.40 ms  (sub)
     hud:arc         0.09 ms  (sub)
     hud:blend       1.27 ms  (sub)
     hud:yaw         0.50 ms  (sub)
     hud:cross       0.07 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.68 ms  (sub)
     disp:waitkey    4.99 ms  (sub)
[PROF 09:05:30]  60 frames   23.45 ms/frame  ->  42.6 FPS
   capture           4.73 ms   20.2%
   track             6.73 ms   28.7%
   ctrl+mav          0.36 ms    1.5%
   hud               5.86 ms   25.0%
   display           5.77 ms   24.6%
     detect          6.15 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.03 ms  (sub)
     hud:setup       0.16 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.53 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.30 ms  (sub)
     hud:yaw         0.51 ms  (sub)
     hud:cross       0.08 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.68 ms  (sub)
     disp:waitkey    5.04 ms  (sub)
[PROF 09:05:32]  59 frames   23.62 ms/frame  ->  42.3 FPS
   capture           4.92 ms   20.8%
   track             6.86 ms   29.1%
   ctrl+mav          0.38 ms    1.6%
   hud               5.74 ms   24.3%
   display           5.71 ms   24.2%
     detect          6.28 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.06 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.53 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.22 ms  (sub)
     hud:yaw         0.51 ms  (sub)
