# pipeline profile — started 2026-08-27 09:24:23
[PROF 09:25:01]  58 frames   18.19 ms/frame  ->  55.0 FPS
   capture           3.23 ms   17.7%
   track             5.79 ms   31.8%
   ctrl+mav          0.36 ms    2.0%
   hud               3.92 ms   21.5%
   display           4.90 ms   26.9%
     detect          5.25 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.72 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.73 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.83 ms  (sub)
     hud:yaw         0.32 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.50 ms  (sub)
     disp:waitkey    4.36 ms  (sub)
[PROF 09:25:03]  59 frames   17.77 ms/frame  ->  56.3 FPS
   capture           3.08 ms   17.3%
   track             5.53 ms   31.1%
   ctrl+mav          0.38 ms    2.1%
   hud               4.03 ms   22.7%
   display           4.76 ms   26.8%
     detect          5.04 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.72 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.83 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.85 ms  (sub)
     hud:yaw         0.31 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.51 ms  (sub)
     disp:waitkey    4.21 ms  (sub)
[PROF 09:25:05]  58 frames   17.67 ms/frame  ->  56.6 FPS
   capture           3.06 ms   17.3%
   track             5.62 ms   31.8%
   ctrl+mav          0.42 ms    2.4%
   hud               3.82 ms   21.6%
   display           4.74 ms   26.8%
     detect          5.16 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.73 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.66 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.81 ms  (sub)
     hud:yaw         0.31 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.52 ms  (sub)
     disp:waitkey    4.18 ms  (sub)
[PROF 09:25:08]  60 frames   17.57 ms/frame  ->  56.9 FPS
   capture           3.14 ms   17.9%
   track             5.57 ms   31.7%
   ctrl+mav          0.34 ms    1.9%
   hud               3.80 ms   21.6%
   display           4.72 ms   26.9%
     detect          5.10 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.72 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.60 ms  (sub)
     hud:arc         0.06 ms  (sub)
     hud:blend       0.83 ms  (sub)
     hud:yaw         0.34 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.50 ms  (sub)
     disp:waitkey    4.18 ms  (sub)
[PROF 09:25:10]  58 frames   18.00 ms/frame  ->  55.6 FPS
   capture           3.30 ms   18.3%
   track             5.73 ms   31.8%
   ctrl+mav          0.42 ms    2.4%
   hud               3.76 ms   20.9%
   display           4.78 ms   26.6%
     detect          5.24 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.69 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.60 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.85 ms  (sub)
     hud:yaw         0.32 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.57 ms  (sub)
     disp:waitkey    4.18 ms  (sub)
[PROF 09:25:12]  57 frames   17.98 ms/frame  ->  55.6 FPS
   capture           3.15 ms   17.5%
   track             5.82 ms   32.4%
